Date (dd/mm/yyyy),23/12/2025,,,,,,,,,
Dealer (Company),Foundation Flooring,,,,,,,,,
Designer Name (First/Last),Zanah Paret,,,,,,,,,
PO:/Design Name (First/Last),Steve Farrell (Upstairs Master V4),,,,,,,,,
Shipping Address,"4100 N Powerline Rd suite b 3,, Pompano Beach, FL, US, 33073",,,,,,,,,
Phone,954-357-2777,,,,,,,,,
Tax ID,27-1177754,,,,,,,,,
Power Tail Gate,NO,,,,,,,,,
Phone Appointment,YES,,,,,,,,,
Order ID,1682,,,,,,,,,
# of Core Parts,181,,,,,,,,,
# of Dovetails,13,,,,,,,,,
# of Assembled Drawers,0,,,,,,,,,
# of 5-Piece and GD,0,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Manuf code,Color,Quantity,Height,Width(R),Length(L),Thickness,Left,Right,Top,Bottom
DBX24_22_135,,1,135,599.6,540,,,,,
DBX36_14_231,,2,231,858.4,340,,,,,
DBX24_14_103,,4,103,599.6,340,,,,,
DBX24_14_231,,6,231,599.6,340,,,,,
DRWEURO,TFL3W-SMAT,2,285,884.4,,19,1,1,1,1
JDRWEURO,TFL3W-SMAT,2,157,625.6,,19,1,1,1,1
DRWEURO,TFL3W-SMAT,4,157,625.6,,19,1,1,1,1
DRWEURO,TFL3W-SMAT,6,285,625.6,,19,1,1,1,1
DRWEURO,TFL3W-SMAT,1,189,625.6,,19,1,1,1,1
SFLAT4,TFL3W-SMAT,9,2438.4,101.6,,19,1,1,0,0
34RCSHFFA,TFL3W-SMAT,3,653.6,653.6,355.6,19,0,1,0,0
34SHFF,TFL3W-SMAT,3,609.6,609.6,,19,1,1,0,0
34SHFF,TFL3W-SMAT,3,457.2,609.6,,19,1,1,0,0
34SHFF,TFL3W-SMAT,3,1025.5,355.6,,19,1,1,0,0
34SHFF,TFL3W-SMAT,1,850.4,762,,19,1,1,0,0
34SHFA,TFL3W-SMAT,2,533.4,355.6,,19,1,1,1,1
34SHFF,TFL3W-SMAT,20,717.5,355.6,,19,1,1,0,0
34SHFF,TFL3W-SMAT,6,1041.4,355.6,,19,1,1,0,0
34SHFF,TFL3W-SMAT,11,609.6,355.6,,19,1,1,0,0
34SHFA,TFL3W-SMAT,6,609.6,355.6,,19,1,1,1,1
34SHFF,TFL3W-SMAT,4,868.4,355.6,,19,1,1,0,0
34SHFF,TFL3W-SMAT,3,762,355.6,,19,1,1,0,0
34SHFF,TFL3W-SMAT,4,533.4,355.6,,19,1,1,0,0
34BACK,TFL3W-SMAT,1,884,638.8,,19,1,1,1,1
34BACK,TFL3W-SMAT,2,692,562.6,,19,1,1,1,1
CLEAT,TFL3W-SMAT,1,762,76.2,,19,1,1,1,1
TK,TFL3W-SMAT,1,495.4,96.5,,19,0,0,0,0
34BACK,TFL3W-SMAT,1,2132,673.1,,19,1,1,1,1
34BACK,TFL3W-SMAT,1,2132,692.1,,19,1,1,1,1
TK,TFL3W-SMAT,4,609.6,96.5,,19,0,0,0,0
34BACK,TFL3W-SMAT,1,2132,801,,19,1,1,1,1
CLEAT,TFL3W-SMAT,1,850.4,76.2,,19,1,1,1,1
TK,TFL3W-SMAT,1,762,96.5,,19,0,0,0,0
34BACK,TFL3W-SMAT,3,2132,629.1,,19,1,1,1,1
34BACK,TFL3W-SMAT,2,2132,1070.7,,19,1,1,1,1
TK,TFL3W-SMAT,2,1041.4,96.5,,19,0,0,0,0
FILL,TFL3W-SMAT,1,2132,106.6,,19,0,0,1,1
CLEAT,TFL3W-SMAT,2,717.5,76.2,,19,1,1,1,1
34BACK,TFL3W-SMAT,2,2132,746.8,,19,1,1,1,1
TK,TFL3W-SMAT,2,717.5,96.5,,19,0,0,0,0
FILL,TFL3W-SMAT,4,2132,76.2,,19,0,0,1,1
CLEAT,TFL3W-SMAT,1,1025.5,76.2,,19,1,1,1,1
TK,TFL3W-SMAT,1,457.2,96.5,,19,0,0,0,0
