Date (dd/mm/yyyy),02/12/2025,,,,,,,,,
Dealer (Company),Mod Kitchens Inc co Highland Moving & Storage,,,,,,,,,
Designer Name (First/Last),Ken Bergmann,,,,,,,,,
PO:/Design Name (First/Last),Mod Kitchen (Showroom V3),,,,,,,,,
Shipping Address,"14490 157 Ave NW,, Edmonton, AB, CA, T6V0K8",,,,,,,,,
Phone,780-453-6777,,,,,,,,,
Tax ID,N/A,,,,,,,,,
Power Tail Gate,NO,,,,,,,,,
Phone Appointment,YES,,,,,,,,,
Order ID,1643,,,,,,,,,
# of Core Parts,115,,,,,,,,,
# of Dovetails,5,,,,,,,,,
# of Assembled Drawers,0,,,,,,,,,
# of 5-Piece and GD,8,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Manuf code,Color,Quantity,Height,Width(R),Length(L),Thickness,Left,Right,Top,Bottom
H.111.95.310,Handle ,12,,,,,,,,
DBX24_14_167,,1,167,599.6,340,,,,,
DBX24_14_231,,1,231,599.6,340,,,,,
SDBX24_12_6,,2,152,599.6,306,,,,,
SDBX24_12_3,,1,76,599.6,306,,,,,
34MDRWB2,TFL2F,1,231,599.6,340,19,,,,
HGJDRWEURO,HGFU,1,157,625.6,,19,1,1,1,1
HGDRWEURO,HGFU,1,221,625.6,,19,1,1,1,1
JDRWTFL90SHA,TFL2F,1,157,625.6,,19,1,1,1,1
BDRWTFL90SHA,TFL2F,1,189,625.6,,19,1,1,1,1
IDRWTFL90SHA,TFL2F,1,189,625.6,,19,1,1,1,1
DRWTFL90SHA,TFL2F,2,285,625.6,,19,1,1,1,1
HGSFLAT4,HGFU,2,2438.4,101.6,,19,1,1,0,0
HGSFLAT,HGFU,2,2438.4,76.2,,19,1,1,0,0
34LCSHFAR,TFL2F,4,691.7,691.7,355.6,19,0,1,0,0
34LCSHFFR,TFL2F,3,691.7,691.7,355.6,19,0,1,0,0
34HGSHFF,HGFU,4,459.9,355.6,,19,1,1,0,0
34HGSHFA,HGFU,4,371.5,355.6,,19,1,1,1,1
34HGSHFF,HGFU,3,977.9,355.6,,19,1,1,0,0
34HGSHFF,HGFU,6,762,355.6,,19,1,1,0,0
GLSHFA_10,,2,762,355.6,,10,,,,
34SHFA,TFL2F,2,609.6,355.6,,19,1,1,1,1
34SHFF,TFL2F,6,609.6,355.6,,19,1,1,0,0
34SHFF,TFL2F,7,762,355.6,,19,1,1,0,0
34SHFF,TFL2F,7,914.4,355.6,,19,1,1,0,0
GLSHFA_10,,2,609.6,355.6,,10,,,,
34HGSHFF,HGFU,6,555.6,355.6,,19,1,1,0,0
34HGSHFA,HGFU,2,555.6,355.6,,19,1,1,1,1
34HGSHFF,HGFU,8,609.6,355.6,,19,1,1,0,0
HGFILL,HGFU,2,2132,76.2,,19,0,0,1,1
TK,TFL2F,1,914.4,96.5,,19,0,0,0,0
HGCLEAT,HGFU,2,555.6,76.2,,19,1,1,1,1
HGCLEAT,HGFU,2,609.6,76.2,,19,1,1,1,1
