Date (dd/mm/yyyy),11/12/2025,,,,,,,,,
Dealer (Company),"CDG Maui Inc co H2O Logistics,",,,,,,,,,
Designer Name (First/Last),Katharina Voigt,,,,,,,,,
PO:/Design Name (First/Last),Lot  12 (CLOSET 2 V4),,,,,,,,,
Shipping Address,"23601 South Wilmington Avenue,, Carson, CA, US, 90745",,,,,,,,,
Phone,310 324 8955,,,,,,,,,
Tax ID,84-4763239,,,,,,,,,
Power Tail Gate,NO,,,,,,,,,
Phone Appointment,NO,,,,,,,,,
Order ID,1663,,,,,,,,,
# of Core Parts,30,,,,,,,,,
# of Dovetails,0,,,,,,,,,
# of Assembled Drawers,0,,,,,,,,,
# of 5-Piece and GD,0,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Manuf code,Color,Quantity,Height,Width(R),Length(L),Thickness,Left,Right,Top,Bottom
34MDRWB2,TFL2SB,2,231,637.7,340,19,,,,
34MDRWB2,TFL2SB,2,135,637.7,340,19,,,,
DRWEURO,TFL2SB,2,189,663.7,,19,1,1,1,1
DRWEURO,TFL2SB,2,285,663.7,,19,1,1,1,1
34SHFA,TFL2SB,2,647.7,355.6,,19,1,1,1,1
34SHFF,TFL2SB,3,431.8,355.6,,19,1,1,0,0
34SHFF,TFL2SB,6,647.7,355.6,,19,1,1,0,0
TK,TFL2SB,1,431.8,96.5,,19,0,0,0,0
TK,TFL2SB,2,647.7,96.5,,19,0,0,0,0
CLEAT,TFL2SB,1,431.8,76.2,,19,1,1,1,1
CLEAT,TFL2SB,2,647.7,76.2,,19,1,1,1,1
34PNLF,TFL2SB,2,2132,355.6,,19,1,1,1,1
34PNLR,TFL2SB,1,2132,355.6,,19,1,1,1,1
34PNLL,TFL2SB,1,2132,355.6,,19,1,1,1,1
34PNLN,TFL2SB,1,2132,355.6,,19,1,1,1,1
H.801.13.201.CTS,Oval Rod Chrome- Cut to size,2,,,638.2,,,,,
M-04-5311,Oval Rod Holder Chrome,6,,,,,,,,
H.801.13.201.CTS,Oval Rod Chrome- Cut to size,1,,,422.3,,,,,
M-105-DS10350H,"Undermount Softclose Slides 14""",4,,,,,,,,
R-5282G,Corner Bracket / Steel,5,,,,,,,,
M-03-2415,Adjustable Shelf Pins,10,,,,,,,,
M-R20-1564,Flat Screw #8 x 5/8   #2 Drive,34,,,,,,,,
M-R20-3950,8/32 Standard Screw Break-away  - Imperial,8,,,,,,,,
M-R20-3102,Drawer Front Screw Recex #8 x 1-1/4,12,,,,,,,,
M-06-7000,System screw Pozi (euro),12,,,,,,,,
H.263.24.972,System 1 Bolt Double - Approx Qty,54,,,,,,,,
H.263.20.985,System Bolt Single - Approx. Qty,54,,,,,,,,
R-B1655ALM,Corner Bracket / Beige,5,,,,,,,,
M-R20-1765,Flat Screw #8 x 1-1/4  #2 Drive,10,,,,,,,,
M-R20-1779,Flat Screw #8 x 2-1/2  #2 Drive,19,,,,,,,,
H.263.50.405,Fixed Shelf Cams Beige,54,,,,,,,,
