Date (dd/mm/yyyy),23/12/2025,,,,,,,,,
Dealer (Company),KBF by Audi Contractor,,,,,,,,,
Designer Name (First/Last),Jenna Leathem,,,,,,,,,
PO:/Design Name (First/Last),D Dimmick (Dimmick Cl #2 V2),,,,,,,,,
Shipping Address,"44710 Cape Court Ste 138, Ashburn, VA, US, 20147",,,,,,,,,
Phone,703-777-9474,,,,,,,,,
Tax ID,20-8240927,,,,,,,,,
Power Tail Gate,NO,,,,,,,,,
Phone Appointment,NO,,,,,,,,,
Order ID,1681,,,,,,,,,
# of Core Parts,65,,,,,,,,,
# of Dovetails,3,,,,,,,,,
# of Assembled Drawers,0,,,,,,,,,
# of 5-Piece and GD,4,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Manuf code,Color,Quantity,Height,Width(R),Length(L),Thickness,Left,Right,Top,Bottom
H.111.95.184,Handle ,4,,,,,,,,
DBX24_18_167,,2,167,599.6,440,,,,,
DBX24_18_103,,1,103,599.6,440,,,,,
DRWTFL90SHA,TFL2WC,1,157,625.6,,19,1,1,1,1
BDRWTFL90SHA,TFL2WC,1,189,625.6,,19,1,1,1,1
DRWTFL90SHA,TFL2WC,2,221,625.6,,19,1,1,1,1
SFLAT,TFL2WC,2,2438.4,76.2,,19,1,1,0,0
SFLAT4,TFL2WC,2,2438.4,103.5,,19,1,1,1,1
SFLAT4,TFL2WC,2,2438.4,101.6,,19,1,1,0,0
34SHFF,TFL2WC,3,457.2,355.6,,19,1,1,0,0
34SHFF,TFL2WC,2,430.9,374.6,,19,1,1,0,0
34SHFF,TFL2WC,9,584.2,355.6,,19,1,1,0,0
34SHFA,TFL2WC,3,609.6,304.8,,19,1,1,1,1
34SHFF,TFL2WC,3,609.6,482.6,,19,1,1,0,0
34SHFF,TFL2WC,3,412.8,482.6,,19,1,1,0,0
34SHFA,TFL2WC,4,457.2,355.6,,19,1,1,1,1
34SHFF,TFL2WC,1,609.6,304.8,,19,1,1,0,0
34SHFF,TFL2WC,3,914.4,355.6,,19,1,1,0,0
